Time;Susceptible;Exposed;Infected;Recovered;Death;2nd Effects Cases
71;7653668,249;53,31871804;46,2299659;76,54619372;0,656220521;65,06426466
71,25;7653664,782;54,36230762;47,13481975;78,05200881;0,669129677;66,34420749
71,5;7653661,247;55,42632219;48,05738368;79,58729704;0,682291503;67,64920248
71,75;7653657,642;56,51116147;48,99800428;81,15263527;0,695710943;68,97973998
72;7653653,968;57,61723301;49,95703496;82,74861166;0,70939304;70,33631991
72,25;7653650,221;58,74495233;50,934836;84,37582586;0,723342935;71,71945198
72,5;7653646,401;59,89474307;51,93177477;86,03488926;0,737565869;73,12965587
72,75;7653642,506;61,06703717;52,94822581;87,72642522;0,752067185;74,56746144
73;7653638,535;62,26227501;53,984571;89,45106931;0,766852334;76,03340891
73,25;7653634,486;63,48090562;55,04119967;91,20946951;0,781926869;77,52804908
73,5;7653630,359;64,72338676;56,1185088;93,00228651;0,797296455;79,05194353
73,75;7653626,15;65,9901852;57,2169031;94,83019391;0,812966867;80,60566483
74;7653621,859;67,28177682;58,33679524;96,69387852;0,828943991;82,18979674
74,25;7653617,483;68,59864679;59,47860595;98,59404056;0,845233832;83,80493448
74,5;7653613,023;69,94128982;60,64276417;100,531394;0,86184251;85,45168487
74,75;7653608,475;71,31021026;61,82970726;102,5066667;0,878776265;87,13066666
75;7653603,838;72,70592234;63,03988114;104,5206008;0,896041459;88,84251067
75,25;7653599,11;74,12895035;64,27374043;106,573953;0,91364458;90,58786007
75,5;7653594,289;75,57982885;65,53174867;108,6674949;0,93159224;92,36737063
75,75;7653589,375;77,05910284;66,81437846;110,8020129;0,949891185;94,18171096
76;7653584,364;78,56732799;68,12211165;112,9783091;0,968548288;96,03156273
76,25;7653579,255;80,10507085;69,45543952;115,1972011;0,987570559;97,91762096
76,5;7653574,046;81,67290904;70,81486296;117,4595227;1,006965147;99,84059429
76,75;7653568,735;83,27143148;72,20089266;119,7661238;1,026739336;101,8012052
77;7653563,32;84,90123863;73,61404929;122,117871;1,046900558;103,8001903
77,25;7653557,799;86,56294269;75,05486374;124,5156479;1,067456386;105,8383007
77,5;7653552,17;88,25716781;76,52387726;126,9603554;1,088414545;107,9163021
77,75;7653546,431;89,9845504;78,0216417;129,4529121;1,109782907;110,0349753
78;7653540,58;91,74573927;79,5487197;131,9942543;1,131569503;112,1951162
78,25;7653534,614;93,54139596;81,10568492;134,585337;1,153782516;114,3975364
78,5;7653528,531;95,37219493;82,69312224;137,2271335;1,176430292;116,6430635
78,75;7653522,329;97,23882384;84,31162798;139,9206365;1,199521342;118,932541
79;7653516,006;99,14198382;85,96181013;142,6668579;1,223064339;121,2668292
79,25;7653509,559;101,0823897;87,64428858;145,4668295;1,247068129;123,646805
79,5;7653502,986;103,0607702;89,35969533;148,3216032;1,271541732;126,0733627
79,75;7653496,285;105,0778685;91,10867476;151,2322516;1,29649434;128,5474139
80;7653489,452;107,1344422;92,89188387;154,1998683;1,32193533;131,069888
80,25;7653482,485;109,2312637;94,70999248;157,2255681;1,34787426;133,6417329
80,5;7653475,382;111,3691205;96,56368355;160,3104878;1,374320874;136,2639147
80,75;7653468,14;113,5488156;98,45365337;163,4557865;1,401285109;138,9374186
81;7653460,757;115,7711676;100,3806119;166,6626458;1,428777095;141,663249
81,25;7653453,229;118,0370111;102,3452829;169,9322706;1,456807161;144,44243
81,5;7653445,553;120,3471972;104,3484044;173,2658891;1,485385837;147,2760057
81,75;7653437,727;122,7025935;106,3907287;176,6647538;1,514523861;150,1650408
82;7653429,749;125,1040845;108,4730231;180,1301417;1,544232178;153,1106205
82,25;7653421,613;127,5525722;110,5960697;183,6633547;1,574521952;156,1138515
82,5;7653413,319;130,0489761;112,7606659;187,2657201;1,60540456;159,1758621
82,75;7653404,863;132,5942337;114,9676247;190,9385913;1,636891605;162,2978026
83;7653396,241;135,189301;117,2177751;194,6833482;1,668994917;165,480846
83,25;7653387,45;137,8351523;119,5119623;198,5013976;1,701726556;168,726188
83,5;7653378,487;140,5327815;121,8510479;202,3941739;1,735098819;172,0350479
83,75;7653369,349;143,2832014;124,2359106;206,3631396;1,769124243;175,4086686
84;7653360,032;146,087445;126,667446;210,4097856;1,80381561;178,8483178
84,25;7653350,532;148,9465653;129,1465673;214,5356323;1,839185955;182,3552874
84,5;7653340,847;151,861636;131,6742059;218,7422296;1,875248564;185,9308951
84,75;7653330,972;154,8337518;134,2513109;223,0311578;1,912016986;189,5764841
85;7653320,904;157,8640286;136,8788502;227,4040282;1,949505032;193,293424
